"week_end","state_wval","state_level"
2022-07-23,12.8503748779872,"Very High"
2022-07-30,7.27451094524162,"High"
2022-08-06,5.96934602238043,"High"
2022-08-13,6.87571122632557,"High"
2022-08-20,4.92578562672162,"Moderate"
2022-08-27,4.00505089022407,"Moderate"
2022-09-03,2.5264976851368,"Low"
2022-09-10,2.93400708156046,"Low"
2022-09-17,1.93157203397383,"Very Low"
2022-10-01,3.10869688046415,"Low"
2022-10-08,1.63800707602461,"Very Low"
2022-10-22,2.78176441740665,"Low"
2022-10-29,3.95064449624719,"Moderate"
2022-11-05,2.73802700457702,"Low"
2022-11-12,2.04506623988828,"Low"
2022-11-19,2.40469259026956,"Low"
2022-11-26,1.85552001194952,"Very Low"
2022-12-10,4.56437540429378,"Moderate"
2022-12-17,4.14461237491215,"Moderate"
2023-01-07,4.5498397776142,"Moderate"
2023-01-14,4.55008357602587,"Moderate"
2023-01-21,2.9185513750681,"Low"
2023-01-28,2.45463779902958,"Low"
2023-02-04,2.71214572823018,"Low"
2023-02-11,1.94835849159984,"Very Low"
2023-02-18,1.34208420812059,"Very Low"
2023-02-25,1.67754931647235,"Very Low"
2023-03-04,1.31085703482364,"Very Low"
2023-03-11,1.4145362030002,"Very Low"
2023-03-18,2.01962283018023,"Low"
2023-03-25,2.46562201236579,"Low"
2023-04-01,2.27570136675164,"Low"
2023-04-08,2.21893933234994,"Low"
2023-04-15,2.03169443072621,"Low"
2023-04-22,2.56006175260408,"Low"
2023-04-29,1.27834420117326,"Very Low"
2023-05-06,1.51119476119424,"Very Low"
2023-05-13,1.17990798368853,"Very Low"
2023-05-20,1.17972091517883,"Very Low"
2023-05-27,1.50468454546205,"Very Low"
2023-06-03,1.40721255547769,"Very Low"
2023-06-10,2.21055559660843,"Low"
2023-06-17,1.03468591995964,"Very Low"
2023-06-24,1.15199063919736,"Very Low"
2022-06-18,14.6751519429743,"Very High"
2022-06-25,13.1074415879607,"Very High"
2022-07-02,12.9386617874225,"Very High"
2022-07-09,12.881630245255,"Very High"
2022-07-16,13.2477302785982,"Very High"
2022-10-15,3.28367928827122,"Low"
2022-12-03,2.42186139038499,"Low"
2022-12-24,5.83757790796412,"High"
2022-12-31,5.71747142765821,"High"
2023-11-25,6.6437979297502,"High"
2023-12-02,7.66061097759092,"High"
2023-12-09,6.76000615774959,"High"
2023-12-16,8.30838921235428,"Very High"
2023-12-23,8.7552344139644,"Very High"
2023-12-30,13.2112148800835,"Very High"
2024-01-06,11.4906040733402,"Very High"
2024-01-13,11.6598504281767,"Very High"
2024-01-20,7.28118023544712,"High"
2024-01-27,13.1416993526064,"Very High"
2024-02-03,12.5268731690411,"Very High"
2024-02-10,11.5889560377619,"Very High"
2024-02-17,10.7597868118486,"Very High"
2024-02-24,9.87637229594058,"Very High"
2024-03-02,7.17815377145317,"High"
2024-03-09,6.39737068137057,"High"
2024-03-16,4.95260429613004,"Moderate"
2024-03-23,5.05037936686902,"Moderate"
2024-03-30,4.14859180151899,"Moderate"
2024-04-06,4.64893432450417,"Moderate"
2024-04-13,4.12195389644579,"Moderate"
2024-04-20,3.98261940920685,"Moderate"
2024-04-27,5.73814560279106,"High"
2024-05-04,5.05650784999993,"Moderate"
2024-06-01,14.2303257288708,"Very High"
2024-06-08,16.0156972996292,"Very High"
2024-06-15,21.0421674781622,"Very High"
2024-06-22,19.2799781769291,"Very High"
2024-06-29,18.2481209100801,"Very High"
2024-07-06,18.4747159710219,"Very High"
2024-07-13,23.4466087875007,"Very High"
2024-07-20,17.1550857994664,"Very High"
2024-07-27,17.7360269998648,"Very High"
2024-08-03,16.1931873901659,"Very High"
2024-08-10,16.8239850632783,"Very High"
2024-08-17,13.8069554359624,"Very High"
2024-08-24,12.2626285435646,"Very High"
2024-08-31,10.5184405216023,"Very High"
2024-09-07,7.64630673074312,"High"
2024-09-14,6.799271316446,"High"
2024-09-21,6.71002483322012,"High"
2024-09-28,5.21038654574029,"Moderate"
2024-10-05,4.58472222963582,"Moderate"
2024-10-12,4.91645939730093,"Moderate"
2024-10-19,5.14483386271464,"Moderate"
2024-10-26,3.49389268094902,"Moderate"
2024-11-02,3.28287783964565,"Low"
2024-11-09,3.11417889112792,"Low"
2024-11-16,3.61905381990305,"Moderate"
